age,sex,race,sibs,paeduc,maeduc,family16,fund16,incom16,relig16,mawrkgrw,othlang,born,parborn,granborn,zodiac,degree
43,1,1,4,12,12,1,1,2,1,1,1,1,0,0,6,0
74,0,1,4,0,8,1,2,1,2,1,2,1,1,4,11,0
42,1,1,2,12,16,2,2,4,2,1,2,1,2,2,1,1
63,0,1,3,16,12,1,2,4,2,2,2,1,0,0,1,1
71,1,2,3,12,12,1,2,2,2,1,2,1,2,2,4,1
67,0,1,1,12,12,1,2,3,2,1,2,1,0,0,8,1
59,0,2,7,12,6,5,1,3,1,1,1,1,0,2,5,0
43,1,1,2,12,12,5,2,1,2,1,2,1,0,0,12,0
62,0,1,4,12,12,0,3,1,1,1,2,1,0,0,5,0
55,1,1,2,6,20,1,2,3,1,1,2,1,0,2,8,0
59,1,1,3,12,12,1,2,4,2,1,1,1,0,0,3,1
34,0,3,2,12,14,5,2,3,1,1,2,1,1,2,4,0
61,0,1,9,12,12,3,2,4,2,1,2,1,0,0,5,0
44,1,2,6,16,12,1,1,1,1,1,1,2,8,4,9,1
41,0,2,4,15,16,1,2,2,2,1,2,1,1,0,2,0
75,0,1,1,12,12,1,2,3,2,1,2,1,0,4,10,0
55,0,1,1,14,13,1,2,2,2,1,1,1,0,0,9,1
30,0,1,3,16,16,1,2,2,9,2,1,2,8,4,11,1
40,0,1,1,15,19,1,2,4,1,1,2,1,0,1,8,1
30,1,1,1,16,16,1,2,2,2,1,1,2,8,4,8,1
34,0,1,3,12,17,7,3,2,10,1,1,2,8,4,12,0
29,0,3,6,12,12,3,1,3,1,1,1,1,2,3,4,0
40,0,1,4,16,16,2,2,4,2,1,1,1,0,0,12,0
37,1,1,0,18,18,1,3,3,4,1,1,1,2,3,9,0
56,0,1,11,16,16,3,1,3,1,1,2,1,0,4,2,1
82,1,1,1,8,8,1,2,3,2,2,1,2,8,4,5,0
68,0,1,1,12,12,1,2,3,2,1,2,1,0,3,7,0
42,0,2,8,0,10,1,1,3,1,1,2,1,0,0,3,0
40,0,1,2,12,12,1,2,1,2,1,2,1,0,4,7,0
74,0,1,1,12,12,1,2,2,2,1,2,1,0,2,1,0
89,1,1,6,19,12,1,2,4,2,2,2,1,0,3,1,0
60,0,1,1,12,12,1,2,3,1,1,2,1,0,3,9,1
56,0,1,4,12,16,5,2,2,2,1,2,1,0,0,12,1
55,0,1,8,9,8,1,2,3,2,2,1,2,8,4,5,0
65,1,1,4,12,12,1,3,3,3,1,1,1,0,3,3,1
71,0,1,1,14,12,1,3,2,3,2,2,1,1,4,2,1
34,1,1,3,16,18,1,2,2,2,1,2,1,0,0,7,1
45,1,1,5,12,8,1,3,1,1,1,1,1,0,0,1,1
50,0,2,2,12,12,1,2,3,1,1,2,1,0,0,5,0
65,0,1,8,12,12,1,2,3,2,1,1,1,0,1,8,0
52,1,1,1,12,10,5,2,5,2,2,2,1,0,0,7,0
62,0,1,4,12,12,1,2,3,2,1,2,1,0,0,4,0
60,1,3,1,20,16,1,2,4,5,1,1,2,8,4,8,1
62,0,1,3,12,8,5,2,3,9,1,2,2,8,4,3,1
46,0,1,5,11,6,1,2,3,2,2,2,2,8,4,3,0
