status_id	created_at	screen_name	text	favorite_count	retweet_count
1372993806359015431	2021-03-19T19:30:07Z	nytimes	Republican Party activists are trying to pass voting restrictions as a way to keep donors and their own voters engaged. Even as Donald Trump fades from public view, his false claims of election fraud still resonate with his conservative base. https://t.co/j7vAveT35U	14	6
1372992033925783554	2021-03-19T19:23:04Z	nytimes	Dr. Carola Eisenberg broke gender barriers and urged women in her profession to see their compassion as a strength, rather than ascribing to the view that showing emotion was “unmanly.” In fact, she urged more male doctors to show their feelings. https://t.co/nwNxdkbVva	203	32
1372989763750404101	2021-03-19T19:14:03Z	nytimes	New York City’s public school system, the largest in the country, will give families the option to enroll their children for in-person classes after new guidance from by the CDC. https://t.co/GpIRRiXEjo	85	23
1372988768379080707	2021-03-19T19:10:05Z	nytimes	A federal investigation into Gov. Andrew Cuomo’s handling of New York nursing homes during the pandemic has focused in recent weeks on whether the governor and his senior aides provided false data on resident deaths to the Justice Department. https://t.co/SBfaWvPEmc	99	35
1372986296742903808	2021-03-19T19:00:16Z	nytimes	There is a name for the suffering that isn't supported: disenfranchised grief. We've all experienced loss this past year, but many people feel they don't have the right to complain. But we need to give ourselves permission to mourn big and small losses. https://t.co/udc1QDAu5v https://t.co/qWEfssWtBF	191	45
1372982469700517888	2021-03-19T18:45:04Z	nytimes	"Today's Great Read:

Equus offers life-changing “attunement,"" allowing clients to interact with horses, but not ride them. The bill for two hours of in-person horse interactions, plus a follow-up call, is $1,044.47. @caityweaver went to investigate. https://t.co/EV9quLIW2N"	39	13
1372980851257044995	2021-03-19T18:38:38Z	nytimes	President Biden was “doing 100% fine” after falling off balance while boarding Air Force One on Friday, according to a press secretary. The president exited the plane when he arrived in Atlanta without an issue. https://t.co/VeuNMOY3rG	455	69
1372979957132099587	2021-03-19T18:35:05Z	nytimes	I wrote this piece for The New York Times. It’s about the time our 7-year old heard that Chinese people shouldn’t be allowed in this country.  She asked: Am I Chinese? #AAPIHate #ActtoChange  https://t.co/KRX4tO8OrK?	0	49
1372978738636464133	2021-03-19T18:30:14Z	nytimes	"LinkedIn has been the lone major American social network allowed to operate in China. To do so, the Microsoft-owned service censors the posts made by its millions of Chinese users.

Now, it’s in hot water for not censoring enough. https://t.co/PtNNwJwmCg"	105	40
1372974933408673793	2021-03-19T18:15:07Z	nytimes	"Who can and can’t get a Covid vaccine right now
https://t.co/6ZLLU0Uh98"	234	102
1372973673150345227	2021-03-19T18:10:06Z	nytimes	Five people who had been working at the White House are no longer employed by the Biden administration because of past marijuana use, Jen Psaki, the White House press secretary, said. https://t.co/hSKshh6Dld	396	97
1372971210263379969	2021-03-19T18:00:19Z	nytimes	Persian New Year, or Nowruz, arrives this weekend and is celebrated for up to 13 days with meals full of freshness and comfort. Here are some standout options. https://t.co/GMTEVak9Ix	197	46
1372969892505399310	2021-03-19T17:55:05Z	nytimes	Barack Obama has forecasted eight first-round upsets in each of the men's and women's NCAA basketball tournaments. But the former president's brackets show only limited chaos in the later rounds. https://t.co/dT7w6RSGhj	293	32
1372967401604718596	2021-03-19T17:45:11Z	nytimes	The vaccinated 101-year-old Loyola-Chicago team chaplain will be allowed to cheer in person. Sister Jean became a celebrity during the basketball team's unexpected Final Four run in 2018. Loyola plays Georgia Tech in the NCAA first round today at 4 pm ET. https://t.co/6Yvxb5l8U4 https://t.co/HONjmVs5jD	645	65
1372965114467483655	2021-03-19T17:36:06Z	nytimes	"An 89-year-old sharpshooter takes aim at India’s patriarchy.
https://t.co/XkJq8fEljF"	762	102
1372963626529787916	2021-03-19T17:30:11Z	nytimes	Vaccinated Israelis are going to gyms and dining in restaurants. Soon they will be at nightclubs and soccer matches by the thousands. Prime Minister Benjamin Netanyahu is banking on voters’ high spirits to give him an edge in a close election on Tuesday. https://t.co/CKIxEh4Cv1	147	32
1372959722731606017	2021-03-19T17:14:40Z	nytimes	"Rich, poor, old, young: Getting a vaccine may mean living in the right place or knowing the right people. 

See more of our worldwide exploration of vaccine eligibility, here. https://t.co/hsOurD2an7"	86	44
1372959721448161282	2021-03-19T17:14:40Z	nytimes	Rich nations were quick to secure vaccine doses and are now able to vaccinate a large swath of their population. Many poorer countries are still awaiting their first shipments. https://t.co/hsOurD2an7 https://t.co/iGH7Xaor71	102	42
1372959714233974784	2021-03-19T17:14:38Z	nytimes	"A pregnant woman in New York? Yes.
A pregnant woman in Germany? No. 
But two close contacts of a pregnant woman in Germany can. https://t.co/hsOurD2an7 https://t.co/xRdcrFpW4T"	31	11
1372959706873004035	2021-03-19T17:14:37Z	nytimes	Even across the U.S., states have very different criteria. Smokers are a priority in some places, but not in others. Grocery and restaurant workers in some states can get vaccinated; postal workers can in others. https://t.co/hsOurD2an7 https://t.co/fkIxmKpfNm	38	12
1372959699889487872	2021-03-19T17:14:35Z	nytimes	Age is a defining requirement in most places, but seniors aren’t first in line everywhere. Older people are at high risk for severe illness from Covid-19. But Chinese officials have been reluctant to vaccinate seniors, citing a lack of clinical trial data. https://t.co/hsOurD2an7 https://t.co/EW29LfZCMy	69	22
1372959014418579456	2021-03-19T17:11:52Z	nytimes	"Who can get vaccinated and who cannot?

Around the world, eligibility requirements vary drastically.
You can be vaccinated if you are:
— Young in Israel
— Old in India
— A smoker in Illinois
— A pregnant woman in New York

See who else is eligible.
https://t.co/hsOurD2an7"	749	357
